,id,title,date_published,which_half,url,domain,num_tweets,score,site_type,num_peaks,active_days,lifespan,active_ratio
614,1636283,Coronavirus: Hillary Clinton Calls to 'Make Voting by Mail the Norm' in 2020,2020-03-18 19:54:03+00:00,1,https://www.breitbart.com/politics/2020/03/18/coronavirus-hillary-clinton-calls-to-make-voting-by-mail-the-norm/,breitbart.com,1055,8.3601064682,claim,1,14,52,0.2692307692307692
617,1629242,These 17 states must change their laws to let voters cast absentee mail ballots without an excuse,2020-03-16 17:59:05+00:00,1,https://www.dailykos.com/stories/2020/3/16/1927986/-These-17-states-must-change-their-laws-to-let-voters-cast-absentee-mail-ballots-without-an-excuse,dailykos.com,415,8.2072982788,claim,1,10,46,0.21739130434782608
619,1614810,Democrat Voter Fraud in Minnesota,2020-03-13 04:01:09+00:00,1,https://www.frontpagemag.com/fpm/2020/03/democrat-voter-fraud-minnesota-bruce-hendry/,frontpagemag.com,262,7.880180835700001,claim,0,74,257,0.28793774319066145
713,1650299,Pelosi 'Stimulus' Bill Imposes Nationwide 'Ballot Harvesting' Without 'Any Limit',2020-03-23 23:00:34+00:00,1,https://www.breitbart.com/2020-election/2020/03/23/pelosi-stimulus-bill-imposes-nationwide-ballot-harvesting-without-any-limit/?fbclid=IwAR3lRU49LKaSMLoIzNWbCcU0V7d49Dn0a5fa4WtK9re4Dyt7wy85KxKDAvg,breitbart.com,5130,100.19557189940001,claim,1,33,230,0.14347826086956522
718,1645462,Gavin Newsom Allows Voting by Mail to Protect Californians from Virus,2020-03-22 00:52:40+00:00,1,https://www.breitbart.com/health/2020/03/21/gavin-newsom-allows-voting-by-mail-to-protect-californians-from-coronavirus/amp/?__twitter_impression=true,breitbart.com,417,9.3340187073,claim,1,6,36,0.16666666666666666
720,1657715,Wicked Immoral Woman: Pelosi Tried to Ram Illegal Ballot Harvesting into Coronavirus Stimulus Bill,2020-03-26 14:56:55+00:00,1,https://www.thegatewaypundit.com/2020/03/wicked-immoral-woman-pelosi-tried-to-ram-illegal-ballot-harvesting-into-coronavirus-stimulus-bill/,thegatewaypundit.com,307,75.9509811401,claim,1,7,19,0.3684210526315789
813,1680451,George Soros Groups Pushing Democrat Scheme for Mail-In Voting,2020-04-03 18:25:37+00:00,1,https://www.breitbart.com/politics/2020/04/03/george-soros-groups-pushing-democrat-scheme-mail-voting/?fbclid=IwAR3URgIfVZtNkvd4NdFGRa9yrfKNzWjDEtSKfI1h508E4pn71ghXXThHFb0,breitbart.com,28840,7.8446679115,claim,3,121,238,0.5084033613445378
815,1680244,Nolte: Voting by Mail Is a Terrible Democrat Idea that Invites Fraud,2020-04-03 17:17:15+00:00,1,https://www.breitbart.com/politics/2020/04/03/nolte-voting-by-mail-is-a-terrible-democrat-idea-that-invites-fraud/amp/?__twitter_impression=true,breitbart.com,386,24.0081596375,claim,1,28,161,0.17391304347826086
816,1671936,House Democrats Pushing for Mail-In Voting as Part of Next Stimulus,2020-03-31 20:47:05+00:00,1,https://www.breitbart.com/politics/2020/03/31/house-democrats-pushing-for-mail-in-voting-as-part-of-next-stimulus/amp/?__twitter_impression=true,breitbart.com,295,10.2524728775,claim,1,37,232,0.15948275862068967
913,1694943,Eric Eggers: You Don't Have to Take Trump's Word to See Mail-In Vote Fraud,2020-04-09 15:47:51+00:00,1,https://www.breitbart.com/politics/2020/04/09/eric-eggers-trump-mail-in-vote-fraud/amp/,breitbart.com,3222,9.7829637527,claim,2,22,227,0.09691629955947137
914,1698377,Trump's Latest Voter Fraud Misinformation,2020-04-10 14:17:59+00:00,1,https://www.factcheck.org/2020/04/trumps-latest-voter-fraud-misinformation/?fbclid=IwAR3zdt-Jmpu_mVQ4WIxGjYfAnYEeNSStge_WwBxtUz-_a4nAnL8_5Vm2CAk,factcheck.org,2787,9.2103786469,fact_checking,4,181,231,0.7835497835497836
916,1686905,Marc Elias: U.S. Needs Vote-by-Mail Ballot Harvesting,2020-04-06 17:15:42+00:00,1,https://www.breitbart.com/politics/2020/04/06/former-clinton-campaign-attorney-marc-elias-u-s-needs-vote-by-mail-ballot-harvesting-vote-anywhere-rules/amp/,breitbart.com,1381,87.95994567870001,claim,2,51,223,0.22869955156950672
917,1691152,Eggers: Dem Plan Would Mail Ballots to Potentially 24M Ineligible Voters,2020-04-08 03:49:24+00:00,1,https://www.breitbart.com/politics/2020/04/07/exclusive-eric-eggers-democrat-plan-could-mail-ballots-to-24m-ineligible-voters/amp/,breitbart.com,1260,8.9778156281,claim,2,30,169,0.17751479289940827
918,1699063,Barack Obama Uses Coronavirus as Excuse to Push For 'Vote-by-Mail' in November,2020-04-11 00:32:09+00:00,1,https://www.thegatewaypundit.com/2020/04/barack-obama-uses-coronavirus-excuse-push-vote-mail-november/,thegatewaypundit.com,981,8.5985832214,claim,1,7,30,0.23333333333333334
920,1694052,Pelosi Wants New Coronavirus Relief Package to Include Stipulations For Federally Forced Vote By Mail For 2020 Election ⋆ Conservative Firing Line,2020-04-09 04:15:11+00:00,1,https://conservativefiringline.com/pelosi-wants-new-coronavirus-relief-package-to-include-stipulations-for-federally-forced-vote-by-mail-for-2020-election/,conservativefiringline.com,640,9.5435991287,claim,1,6,6,1.0
921,1691549,Trump launches bizarre attack on mail-in voting — after admitting he voted in Florida by mail,2020-04-08 12:05:00+00:00,1,https://www.rawstory.com/2020/04/trump-launches-bizarre-attack-on-mail-in-voting-after-admitting-he-voted-in-florida-by-mail/,rawstory.com,501,8.4126911163,claim,1,3,213,0.014084507042253521
926,1690380,Elizabeth Warren Joins Mounting Calls for Mail-In Voting,2020-04-07 21:19:34+00:00,1,https://www.breitbart.com/politics/2020/04/07/elizabeth-warren-calls-for-mail-in-voting-ban-on-cleaning-voter-rolls-sworn-statements-in-lieu-of-voter-id/,breitbart.com,325,9.1357021332,claim,1,4,220,0.01818181818181818
927,1697386,Potential for Fraud Is Why Mail-in Elections Should Be Dead Letter,2020-04-10 13:41:34+00:00,1,https://www.dailysignal.com/2020/04/10/potential-for-fraud-is-why-mail-in-elections-should-be-dead-letter/,dailysignal.com,248,8.6845436096,claim,0,56,185,0.3027027027027027
928,1690785,Trump Flat Out Calls It A ‘Terrible Thing’ To Make It Easier To Vote,2020-04-08 00:00:25+00:00,1,https://www.politicususa.com/2020/04/07/trump-flat-out-calls-it-a-terrible-thing-to-make-it-easier-to-vote.html,politicususa.com,240,21.5514564514,claim,1,3,3,1.0
929,1696163,Did Supreme Court vote remotely to “deny Wisconsin voters their right to vote remotely”? Yes and no,2020-04-09 04:00:00+00:00,1,https://www.politifact.com/factchecks/2020/apr/09/facebook-posts/did-supreme-court-vote-remotely-deny-wisconsin-vot/,politifact.com,238,8.718328476,fact_checking,1,6,8,0.75
1014,1706983,Democrat Lawyer Behind 'Russia Dossier' Pressures Nevada to Allow 'Ballot Harvesting',2020-04-14 18:52:17+00:00,1,https://www.breitbart.com/politics/2020/04/14/democrat-lawyer-russia-dossier-nevada-ballot-harvesting/amp/,breitbart.com,1928,103.2859115601,claim,1,8,205,0.03902439024390244
1015,1705383,REPORT: More Than 28 Million Mail Ballots Went Missing in Last Decade,2020-04-14 03:12:45+00:00,1,https://www.thegatewaypundit.com/2020/04/report-28-million-mail-ballots-went-missing-last-decade/,thegatewaypundit.com,1376,9.7088470459,claim,1,28,175,0.16
1016,1708211,True The Vote Ends Left’s Vote-by-Mail Scheme in New Mexico,2020-04-15 03:13:44+00:00,1,https://www.breitbart.com/politics/2020/04/14/exclusive-stopped-cold-true-the-vote-ends-lefts-vote-by-mail-scheme-in-new-mexico-as-national-battle-intensifies/amp/,breitbart.com,1348,8.6845436096,claim,1,26,163,0.15950920245398773
1019,1706602,Trump Tweets Against 'Ballot Harvesting' Which Pelosi Wants Nationwide,2020-04-14 16:50:22+00:00,1,https://www.breitbart.com/politics/2020/04/14/trump-tweets-against-ballot-harvesting-which-pelosi-wants-nationwide/,breitbart.com,921,105.9409332275,claim,1,6,15,0.4
1021,1714126,28 Million Mail-In Ballots Have Gone Missing,2020-04-17 06:00:37+00:00,1,https://www.frontpagemag.com/point/2020/04/28-million-mail-ballots-have-gone-missing-daniel-greenfield/,frontpagemag.com,847,7.3298296928,claim,1,7,37,0.1891891891891892
1022,1715218,Gorka: Greatest Coronavirus Threat Is Democrat Push for Mail-in-Voting,2020-04-17 16:56:39+00:00,1,https://www.breitbart.com/politics/2020/04/17/sebastian-gorka-greatest-threat-coronavirus-democrat-push-mail-voting/,breitbart.com,737,23.8591823578,claim,1,5,8,0.625
1023,1710306,Texas AG threatens to criminally sanction any group that tells voters to apply for a mail-in ballot to avoid COVID-19,2020-04-15 21:12:59+00:00,1,https://www.rawstory.com/2020/04/texas-ag-threatens-to-criminally-sanction-any-group-that-tells-voters-to-apply-for-a-mail-in-ballot-to-avoid-covid-19/,rawstory.com,544,75.7881774902,claim,1,6,7,0.8571428571428571
1024,1719970,Dem Sen. Coons Calls for $3.6 Billion Vote-by-Mail Funding -- 'We Ought to Be Able to Do This',2020-04-20 02:27:24+00:00,1,https://www.breitbart.com/clips/2020/04/19/dem-sen-coons-calls-for-3-6-billion-vote-by-mail-funding-we-ought-to-be-able-to-do-this/amp/?__twitter_impression=true,breitbart.com,537,9.6529655457,claim,1,15,197,0.07614213197969544
1026,1707875,Mail-In Voting For November Election Over Coronavirus Opens Door For Fraud Experts Say,2020-04-14 04:00:00+00:00,1,https://amp.dailycaller.com/2020/04/14/mail-vote-election-trump-democrats-fraud-coronavirus?__twitter_impression=true,dailycaller.com,404,9.1908693314,claim,1,23,216,0.10648148148148148
1030,1709481,Clinton Lawyer Behind Fake Russia Dossier Pressures Nevada to Allow Ballot Harvesting Due to Coronavirus Concerns,2020-04-15 16:40:36+00:00,1,https://www.thegatewaypundit.com/2020/04/clinton-lawyer-behind-fake-russia-dossier-pressures-nevada-allow-ballot-harvesting-due-coronavirus-concerns/?ff_campaign=dailypm&ff_content=daily&ff_medium=the-gateway-pundit&ff_source=Email,thegatewaypundit.com,249,86.6492080688,claim,1,3,4,0.75
1113,1733855,Cuomo Orders Absentee Ballot Applications Sent to Every New York Voter,2020-04-25 15:43:52+00:00,1,https://www.breitbart.com/health/2020/04/25/andrew-cuomo-orders-postage-paid-absentee-ballot-applications-sent-every-new-york-voter/,breitbart.com,2466,99.6486358643,claim,1,33,48,0.6875
1116,1729246,"Top Elections Lawyer: Vote-By-Mail Is ""The Most Massive Fraud Scheme In American History""",2020-04-23 17:29:08+00:00,1,https://www.zerohedge.com/political/top-elections-lawyer-vote-mail-most-massive-fraud-scheme-american-history,zerohedge.com,521,9.4799594879,claim,1,12,81,0.14814814814814814
1117,1729600,Pelosi: 'Chunk of money' in coronavirus bill will go to vote-by-mail - WND,2020-04-23 23:42:09+00:00,1,https://www.wnd.com/2020/04/pelosi-chunk-money-coronavirus-bill-will-go-vote-mail/,wnd.com,452,7.3691263199,claim,0,2,2,1.0
1121,1732057,Pelosi Pushes Vote-by-Mail -- 'Every Person Registered to Vote Should Receive a Ballot',2020-04-24 17:55:59+00:00,1,https://www.breitbart.com/clips/2020/04/24/pelosi-pushes-vote-by-mail-every-person-registered-to-vote-should-receive-a-ballot/,breitbart.com,320,83.5974807739,claim,1,9,100,0.09
