,aid,peak_date,peak_height
0,1060266,2018-08-08,2052.0
1,1060266,2018-11-05,99.0
2,1060266,2019-06-25,667.0
3,1183733,2018-12-04,2427.0
4,1557808,2020-01-10,654.0
5,1588084,2020-02-13,1292.0
6,1619003,2020-05-29,96.0
7,1619003,2020-11-04,67.0
8,1858904,2020-06-22,52.0
9,1858904,2020-07-10,100.0
10,1858904,2020-08-04,506.0
11,1858904,2020-08-15,250.0
12,1804595,2020-05-28,256.0
13,1650299,2020-03-24,3645.0
14,1686905,2020-04-07,641.0
15,1686905,2020-04-22,229.0
16,1692772,2020-04-09,535.0
17,1694943,2020-04-09,2309.0
18,1694943,2020-04-26,52.0
19,1698377,2020-04-11,54.0
20,1698377,2020-05-20,88.0
21,1698377,2020-05-27,119.0
22,1698377,2020-07-27,841.0
23,1708211,2020-04-15,1143.0
24,1733855,2020-04-25,1356.0
25,1745263,2020-04-30,749.0
26,1766714,2020-05-11,57.0
27,1766714,2020-05-27,167.0
28,1766714,2020-07-30,55.0
29,1790795,2020-05-20,1970.0
30,1797282,2020-05-23,373.0
31,1797282,2020-05-30,504.0
32,1800908,2020-05-26,1207.0
33,1807030,2020-05-29,130.0
34,1822635,2020-06-03,656.0
35,1859267,2020-06-19,343.0
36,1863612,2020-06-22,1011.0
37,1875759,2020-06-29,1995.0
38,1875818,2020-06-27,5727.0
39,1876748,2020-06-28,480.0
40,1915386,2020-07-15,478.0
41,1915386,2020-07-22,143.0
42,1915386,2020-08-20,1876.0
43,1925157,2020-07-20,4372.0
44,1938411,2020-07-26,2655.0
45,1959303,2020-08-04,4038.0
46,1988227,2020-08-17,150.0
47,1988227,2020-08-25,65.0
48,1988227,2020-09-05,50.0
49,1988227,2020-09-24,165.0
50,2014871,2020-08-29,4989.0
51,2016822,2020-08-29,603.0
52,2017092,2020-08-30,2205.0
53,2020148,2020-09-01,830.0
54,2060981,2020-09-18,3575.0
55,2076569,2020-09-26,5570.0
56,2075712,2020-09-25,572.0
57,2081743,2020-09-28,16739.0
58,2081743,2020-10-06,52.0
59,2085903,2020-09-29,1042.0
60,2113951,2020-10-12,2492.0
61,2119374,2020-10-14,573.0
62,2168163,2020-11-05,80968.0
63,2167121,2020-11-05,598.0
